lat,long,open date
28.23777778,77.42055556,2018
28.22694444,77.42083333,2020
28.22694444,77.42194444,2019
28.2275,77.42388889,2018
28.25333333,77.43861111,2018
28.25305556,77.44,2015
28.25305556,77.44111111,2011
28.28416667,77.39222222,2014
28.28694444,77.38833333,2015
28.37111111,77.39222222,2011
28.37416667,77.39472222,2011
28.37638889,77.39194444,2011
28.41694444,77.38305556,2011
28.41805556,77.37916667,2011
28.41944444,77.375,2011
28.24861111,77.39611111,2014
28.24861111,77.39972222,2014
28.25027778,77.39972222,2014
28.24444444,77.39361111,2012
28.23861111,77.38361111,2015
28.24472222,77.39361111,2011
28.24444444,77.39611111,2018
28.24277778,77.39916667,2011
28.24444444,77.40305556,2014
28.24861111,77.39611111,2012
28.37805556,77.395,2018
28.37666667,77.39388889,2009
28.37638889,77.39194444,2009
28.37416667,77.39472222,2009
28.41777778,77.37916667,2011
28.41694444,77.38277778,2011
28.95027778,76.91777778,2013
28.94722222,76.91444444,2019
28.94527778,76.91444444,2015
28.92805556,76.92722222,2014
28.92583333,76.87472222,2012
28.96888889,76.8675,2011
28.44194444,77.68305556,2017
285807.18,771540.26,2011
285833.94,771601.33,2019
285919.39,771615.44,2019
285637.76,771603.72,2011
285636.18,771534.92,2011
285636.18,771930.04,2014
285439.06,771804.31,2014
284959.98,771753.46,2011
284903.86,771823.72,2014
284842.84,771810.38,2014
284847.13,771835.35,2014
284840.46,771837.32,2014
284835.97,771850.39,2014
284823.86,771903.07,2010
284816.09,771944.21,2014
284800.22,771958.2,2013
284825.7,772029.45,2015
284819.74,772053.92,2011
284729.03,772143.63,2011
284732.76,772146.43,2012
284735,772133.6,2013
284709.63,772210.03,2019
284701.31,772152.51,2012
284816.64,772234.73,2010
284819.11,772229.06,2010
284709.48,772210.14,2019
284701.32,772152.46,2012
284641.05,772155.11,2012
284636.91,772141.9,2017
284626.45,772150.24,2013
284548.95,772238.34,2010
284913.98,772226.31,2011
284907.4,772216.62,2011
284933.8,772217.98,2012
284939.95,772207.55,2013
284647.3,772340.32,2012
284503.97,772632.4,2011
284559.82,772616.51,2010
284747.67,772557.81,2014
285103.22,772256.76,2013
285118.45,772257.03,2010
285116.84,772244.34,2011
285403.04,772313.96,2012
285429.93,772244.73,2015
285444.77,771926.46,2011
285450.69,771921.09,2015
284600.33,773612.75,2013
284603.4,773551.38,2012
284627.68,773615.58,2013
285940.3,771329.65,2020
285936.34 2,771332.39,2020
285951.71,771334.05,2020
2859922.3,771322.39,2020